Type,ID,Speaker,IMG,Position,NextID,Text,CG,IsWatched,Condition
Start,0,,,,1,今天，大选的日子，载入史册的日子，新王诞生的日子。POKER先祖经过数代的计量，算出这一天所有房间的门都通向大厅——所有已经破茧的POKER人都有权利投出自己宝贵的一票，决定谁将带领国家走向更好的明天。,,,
#,1,,,,2,大厅早在前几天就装饰得富有节日气氛，静静等待着仪式的开始。无名英雄的雕像闭眼伫立于此，不知道本该站在祂面前的人不会出现了。,,,
#,2,,,,3,取而代之的，是她的长兄与长姐。,,,Diamond_health>0&Club_health>0
#,3,,,,4,Diamond和Club已经站在此处。上一次他们见面是多久了？很难说。两个人度过的年岁在同辈中重合最多，于是默然划定了分界线，宁可作为被分割的残缺的一部分永远活着，不要沾染一点对方的影子，直到今天。他们必须撕开旧账，清算一切。,,,
#,4,Diamond,unhappy,右,5,……Club，我们多久未见了？,,,
#,5,Club,qingmie,左,6,不知道。我都忘了你长这样了，头发还是不剪？早点踩到一脚摔死吧。,,,
#,6,Diamond,normal,右,7,借你吉言。但我要活着，我要当上国王。我必定是国王。,,,
#,7,Club,qingmiexiao,左,8,像父亲那样吗？像他过去许诺你的那样？那你要怎么样，你要对我动手吗，像他教你的那样？像你对你的女仆做的那样？,,,
#,8,Club,qingmie,左,9,——像你对Spade做的那样？,,,
#,9,Diamond,weiqu,右,10,……不是我。我说过了不是我。,,,
#,10,Club,huaiyi,左,11,那你说，是谁？,,,
#,11,Diamond,weiqu,右,12,就算我说什么，你都不会相信的。,,,
#,12,Club,huaiyi,左,13,那你肯定知道什么！说话！,,,
#,13,,,,14,还未等Heart反应过来，Club的剑已经直指Diamond的喉管，而一枚尖锐的碎片也早已对准了她的致命部位。电光火石之间，到了无可挽回的一步。,,,
@,14,,,,27,干涉,,,【前面劝说选项选择后才能选】
@,15,,,,16,不干涉,,,
#,16,Club,huaiyi,左,17,就算没有充足的证据，我也有理由杀了你。国王只能由一个人担任，必不可能是一个将死的、控制不了自己的弱者！,,,【没有证据】
#,17,Diamond,normal,右,18,……多么可悲啊，这就是你要的所有吗，Club？一些偏爱？一些权势？用王国的发展满足自己成为万众瞩目的强者的梦想？这些你当上国王也不会有的，你注定不会有。,,,
#,18,Diamond,normal,右,19,我在你之前——出生时就决定了，这个次序就够了。,,,
#,19,Club,hauiyi,左,20,……,,,
#,20,Club,shengqi,左,21,一切的证据都指向你。没有杀人的痕迹、信的末尾古怪的语气、还有父亲曾经的作为——杀死亲兄弟姐妹独自称王，他告诉了你吧，被你继承了吧？,,,
#,21,Diamond,angry,右,22,什么——父亲？,,,
#,22,Club,shengqi,左,23,真令我恶心，竟要和你这样的人站在不平等的位置竞争，一个习惯伪装、内里恶臭至极的病人、疯子，把你那些假惺惺全部摘下来啊！还剩多少是你真正的模样？,,,
#,23,Club,shengqi,左,24,你，就是你。我的思路从来没有这么清晰过，王国的威胁也是你——！杀了你，一切的事都能解决。,club&diamondbattle,,
#,24,,,,25,事情已经毫无挽回之地。在王位的争夺中，我要站在谁那一边——,,,
@,25,,,,26,大哥Diamond,,,
@,26,,,,27,二姐Club,,,
#,27,Heart,chouchang,左,28,别吵了。别吵了！现在根本不是内斗的时候。Club，你忘记我们商量好的事了吗——,,,
#,28,,,,29,Club冷冷地瞪着面前讥讽地、苍白地笑着的人，Diamond的碎片轻轻转动着——随后缓慢地把剑收了回来。碎片与之同时远离了她，回到Diamond身边，运行的轨道里，护卫着他。,,,
#,29,Club,fanbaiyan,左,30,我不跟你真的打起来。我要和你——不行。我说不出口。,,,
#,30,Diamond,smile,右,31,哦？亲爱的Heart，你们背着我约定了什么呀？,,,
#,31,Heart,biyan,左,32,那么我来解释。哥，哥哥。,,,
#,32,Heart,fanbo,左,33,POKER国自古以来是一人为王，但从未有规定不许双王共存——,,,
#,33,Diamond,uncom,右,34,啊？,,,
#,34,Club,huaiyi,左,35,啊！！？什么？？这和我们说好的不一样——,,,
#,35,Heart,fanbo,左,36,你们都得承认，凭借民众的投票，很难直接胜出。,,,
#,36,Heart,fanbo,左,37,而现在试图杀死对方，也只会两败俱伤。,,,
#,37,Heart,smile,左,38,不如各退一步，相互监督，相互辅佐。,,,
#,38,Diamond,sikao,右,39,……,,,
#,39,,,,40,民众会震惊，但几经权量，肯定更为乐意这样的处理，国家安定，我们才能往城堡深处去，寻找杀死姐姐的凶手，解决王国的威胁。,,,
#,40,Diamond,smile,右,41,……亲爱的，你说得对。我接受这样的方案，如果那样你们才会停止怀疑我的话。,,,
#,41,Club,fanbaiyan,左,42,……嘁。我——好吧好吧好吧，我真服了。我做的一切都是为了国家，跟你这个拖把绝对没有关系。,,,
#,42,Diamond,smile,右,43,碎片会帮我托住长发，不会碰到地板，麻烦你看清楚了。,,,
#,43,,,,E,事件终于解决了。正如Heart所说，民众最终还是接受了这一结果。,,,
