Type,ID,Speaker,IMG,Position,NextID,Text,CG,IsWatched,Condition,RandomBranches,Effects
Start,0,Heart,smile,左,1,书架……看看有什么书吧。,,,,,
R,1,,,,,这是…,,,,5:1;16:1;17:1;18:1;19:1;20:1;21:1;22:1;23:1;24:1;25:1;27:1,
&,2,,,,2,"《城堡建筑规划》
详细整理了自建国以来，有信息余留的城堡修建工作。最开始城堡只是一座巨型废墟，不规则的空间相隔，由盘亘交错的通道连接，每隔一天通道的两端会发生偏移，但这种改变并非随机，在一段更长的固定时间内有迹可循，原理过于复杂而未能充分论述。现在所看到的城堡，坚实平直的房间，都是每年修整开拓的结果。",,,,,
#,3,,,,E,圣育池是最古老的城堡设施，位于城堡的中心，随后由此作为王宫的一端，延伸修筑了所有相连频次最高的房间。还有一大片区域等待开发。,,,,,
&,4,,,,E,"《颂传史》
王朝的兴衰，划过天空的英雄，数不胜数的故事，美满多而离愁少。也可能只是从一支异想天开的笔下流出的谎言，真实总以悲剧见人。",,,,,
&,5,,,,6,"《J十六与Q十五密信集》
一对闻名的忘年交，自赋予称号以来，双方交换了将近800多封信件。",,,,,
#,6,Heart,normal,左,28,我还从未寄过信呢。,,,Maid_Dead,,
#,7,Heart,sad,左,E,……算了。,,,,,
#,8,Maid,,右,9,这些运输者能识别文字，会通过残留的气息追溯到收信人，并把信送到别人手上。,,,,,
#,9,Maid,,右,10,人的生命迹象消失后，气息也会更快地消散。主人，我们最好抓紧时间。,,,,,
#,10,Heart,jingyas,左,11,我现在还能给姐姐写信吗？,,,,,
#,11,Maid,,右,12,您试一试？,,,,,
#,12,Heart,bianren,左,13,铺开信纸，在记忆里翻找出了一支曲调，最后写上Spade收。,,,,,
#,13,Heart,ding,左,14,放在任意一个角落吧。,,,,,
#,14,,,,E,过了一会，一只虫仆无声无息地到来了，用口足叼起了信封，无措地在原地盘寻许久，最后钻进墙边的裂缝里。,,,,,
#,15,Heart,ding,左,E,粗略扫了一眼，书架上没有更多感兴趣的书了。,,,,,
&,16,,,,E,"《苔藓进化习性学》
Spade有段时间把这本书放在枕头底下，每天一醒来就不吃不喝地阅读、记笔记，并且为此整理了一套全注版，配有极其精细的绘图与实验观察数据。科学革命往往发生在对前一范式的充分学习之后。",,,,,
&,17,,,,E,"《苔花》
一本文笔细腻绝美的散文诗。Heart很喜欢，他常常在行走时想起里面的一二句诗，忘记手上要做的事。",,,,,
&,18,,,,E,"《跑》
一部小说。讲述了一个喜欢跑步的怪人A的故事。他最后在奔跑时踩到弹菇摔死了。",,,,,
&,19,,,,E,"《四、六至十二国库记录表集》
这些涉及运作管理机密的书籍不该放在这里，因为太重而过于占空间之类的说辞都应否决，被有心者知道完全可以推算出金库的存量——显然Spade早就这么干过了，甚至找J相预支了一笔费用用于技术研发的启动资金。",,,,,
&,20,,,,E,"《7花夫人》
一部爱情小说，7花与一个行商的方A坠入爱河，最后却顺应家庭的安排与门当户对的家族联姻。爱情在一个没有交配行为的种族里，也并不纯粹几分——爱情的本质是权力，此句式也适用于更多抽象事物。",,,,,
&,21,,,,E,"《曲调式基础》
Heart会倾力推荐所有人去读它。有些东西看不见而只能被听见，这本书就是一把钥匙。",,,,,
&,22,,,,E,"《奇思妙想》
关于技术、装置和异想天开的发明记载，偏重思想，很多有趣而不切实际的想法，Spade在冥思苦想许久后作了详细的批注，警告其他看这本书的人不要当真，真正实现可能在一百任国王死去之后。",,,,,
&,23,,,,E,"《结构学》
朴素无华的，往往是最实用的，它也能反向筛选读者。",,,,,
&,24,,,,E,"《神学考究》
对古代发源的密教有较为系统和客观考究的一本罕见的学术著作，每一页都被人套上了精致的透明塑封。书上记载密教从部落时期普遍信奉，到帝国时期被排离于官方体系的全过程，一定有潜伏的密教徒试图篡改这本书，但另一个人早就下重金保护了这本书的立场。",,,,,
&,25,,,,26,"《密而教之》
一本关于密教徒的史书。作者明显是密教徒，从贯穿全书的第一人称和狂热的崇拜不难看出。读者需要花大量精力控制自己不被煽动性语句牵制，同时筛选出客观事实。",,,,,
#,26,,,,E,——但读完这本书，会对这个国家的一切运作与其迷信的巧合产生怀疑进而信仰，不是正常的事。往往不是奇迹产生信仰，而是信仰产生奇迹。,,,,,
&,27,,,,E,"《时代不语》
关于第十二、十三、十四任时流行的花纹图样、服饰、器物。那时审美受到王室内部关系的影响极大，保守的直线形与张扬的大波浪形、柔美的水纹型、双层单层……里面的学问对不关注时尚的人而言看不出门道。如今的审美已经逐渐偏向个性化，彰显穿着者本身性格。",,,,,
#,28,Maid,,右,8,您写好信以后，放在房间的角落，会有虫仆替您传递的。,,,,,
